Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,-0.037329,0,-0.04,0,0.04,1,0,0,1
internalMesh,1,-0.040791,0,-0.0349447,0,0.0349447,1,0,0,1
internalMesh,2,-0.0427142,0,-0.0321362,0,0.0321362,1,0,0,1
internalMesh,3,-0.0448108,0,-0.028159,0,0.028159,1,0,0,1
internalMesh,4,-0.0469074,0,-0.0241819,0,0.0241819,1,0,0,1
internalMesh,5,-0.0480115,0,-0.0210962,0,0.0210962,1,0,0,1
internalMesh,6,-0.0497782,0,-0.0161592,0,0.0161592,1,0,0,1
internalMesh,7,-0.0511428,0,-0.00962298,0,0.00962298,1,0,0,1
internalMesh,8,-0.0514626,0,-0.00809104,0,0.00809104,1,0,0,1
internalMesh,9,-0.052021,0,0,0,0,1,0,0,1
internalMesh,10,-0.052021,0,0,0,0,1,0,0,1
internalMesh,11,-0.0514622,0,0.00809104,0,0.00809104,1,0,0,1
internalMesh,12,-0.0511502,0,0.00958516,0,0.00958516,1,0,0,1
internalMesh,13,-0.0497776,0,0.0161592,0,0.0161592,1,0,0,1
internalMesh,14,-0.048023,0,0.021062,0,0.021062,1,0,0,1
internalMesh,15,-0.0469065,0,0.0241819,0,0.0241819,1,0,0,1
internalMesh,16,-0.0447324,0,0.0283063,0,0.0283063,1,0,0,1
internalMesh,17,-0.0427135,0,0.0321362,0,0.0321362,1,0,0,1
internalMesh,18,-0.0408215,0,0.0348992,0,0.0348992,1,0,0,1
internalMesh,19,-0.0373284,0,0.04,0,0.04,1,0,0,1
internalMesh,20,-0.0338721,0,0.0438571,0,0.0438571,1,0,0,1
internalMesh,21,-0.0508364,0,-0.04,0.02,0.0447214,0.182272,0.00344423,-0.00881655,0.182518
internalMesh,22,-0.0538442,0,-0.0349647,0.02,0.0402807,0.194139,0.00328176,-0.0103584,0.194443
internalMesh,23,-0.0555338,0,-0.0321362,0.02,0.0378515,0.200805,0.0031905,-0.0112245,0.201144
internalMesh,24,-0.0573647,0,-0.028137,0.02,0.0345209,0.208009,0.00286478,-0.0121535,0.208384
internalMesh,25,-0.0591754,0,-0.0241819,0.02,0.0313809,0.215134,0.00254265,-0.0130724,0.215546
internalMesh,26,-0.0601382,0,-0.0211509,0.02,0.0291094,0.218758,0.0022454,-0.0135355,0.219188
internalMesh,27,-0.0617239,0,-0.0161592,0.02,0.0257123,0.224727,0.00175586,-0.0142982,0.225188
internalMesh,28,-0.0629633,0,-0.00958746,0.02,0.0221793,0.22924,0.00105557,-0.0148634,0.229724
internalMesh,29,-0.0632456,0,-0.00809104,0.02,0.0215746,0.230268,0.000896117,-0.0149921,0.230758
internalMesh,30,-0.0637524,0,0,0.02,0.02,0.232084,6.67424e-08,-0.0152163,0.232582
internalMesh,31,-0.0637524,0,0,0.02,0.02,0.232084,6.67424e-08,-0.0152163,0.232582
internalMesh,32,-0.0632454,0,0.00809104,0.02,0.0215746,0.230269,-0.000895992,-0.0149922,0.230758
internalMesh,33,-0.0629701,0,0.00955053,0.02,0.0221633,0.229266,-0.00105152,-0.0148667,0.22975
