Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,-0.578706,-0.035,-0.035,0,0.0494975,1,0,0,1
internalMesh,1,-0.483216,-0.0281362,-0.0367922,0,0.0463176,1,0,0,1
internalMesh,2,-0.366481,-0.0211819,-0.0381922,0,0.0436729,1,0,0,1
internalMesh,3,-0.25411,-0.0141593,-0.0391955,0,0.0416746,1,0,0,1
internalMesh,4,-0.146123,-0.00709104,-0.0397987,0,0.0404255,1,0,0,1
internalMesh,5,-0.0373291,8.32667e-18,-0.04,0,0.04,1,0,0,1
internalMesh,6,0.0770911,0.00709104,-0.0397987,0,0.0404255,1,0,0,1
internalMesh,7,0.201203,0.0141593,-0.0391955,0,0.0416746,1,0,0,1
internalMesh,8,0.338385,0.0211819,-0.0381922,0,0.0436729,1,0,0,1
internalMesh,9,0.484976,0.0281362,-0.0367922,0,0.0463176,1,0,0,1
internalMesh,10,0.603203,0.035,-0.035,0,0.0494975,1,0,0,1
internalMesh,11,-0.589143,-0.0367922,-0.0281362,0,0.0463176,1,0,0,1
internalMesh,12,-0.463118,-0.02957,-0.02957,0,0.0418183,1,0,0,1
internalMesh,13,-0.343188,-0.0222572,-0.03069,0,0.0379112,1,0,0,1
internalMesh,14,-0.237891,-0.0148761,-0.0314926,0,0.0348294,1,0,0,1
internalMesh,15,-0.140304,-0.00744949,-0.0319752,0,0.0328315,1,0,0,1
internalMesh,16,-0.0427142,-4.62593e-18,-0.0321362,0,0.0321362,1,0,0,1
internalMesh,17,0.0611739,0.00744949,-0.0319752,0,0.0328315,1,0,0,1
internalMesh,18,0.17698,0.0148761,-0.0314926,0,0.0348294,1,0,0,1
internalMesh,19,0.310686,0.0222572,-0.03069,0,0.0379112,1,0,0,1
internalMesh,20,0.465854,0.02957,-0.02957,0,0.0418183,1,0,0,1
internalMesh,21,0.62295,0.0367922,-0.0281362,0,0.0463176,1,0,0,1
internalMesh,22,-0.580988,-0.0381922,-0.0211819,0,0.0436729,1,0,0,1
internalMesh,23,-0.445929,-0.03069,-0.0222572,0,0.0379112,1,0,0,1
internalMesh,24,-0.326102,-0.0230972,-0.0230972,0,0.0326644,1,0,0,1
internalMesh,25,-0.226526,-0.0154361,-0.0236991,0,0.0282829,1,0,0,1
internalMesh,26,-0.136493,-0.00772949,-0.0240611,0,0.0252721,1,0,0,1
internalMesh,27,-0.0469074,4.62593e-18,-0.0241819,0,0.0241819,1,0,0,1
internalMesh,28,0.0496988,0.00772949,-0.0240611,0,0.0252721,1,0,0,1
internalMesh,29,0.160223,0.0154361,-0.0236991,0,0.0282829,1,0,0,1
internalMesh,30,0.291907,0.0230972,-0.0230972,0,0.0326644,1,0,0,1
internalMesh,31,0.451788,0.03069,-0.0222572,0,0.0379112,1,0,0,1
internalMesh,32,0.624213,0.0381922,-0.0211819,0,0.0436729,1,0,0,1
internalMesh,33,-0.575098,-0.0391955,-0.0141593,0,0.0416746,1,0,0,1
internalMesh,34,-0.434382,-0.0314926,-0.0148761,0,0.0348294,1,0,0,1
internalMesh,35,-0.315569,-0.0236991,-0.0154361,0,0.0282829,1,0,0,1
internalMesh,36,-0.219571,-0.0158374,-0.0158374,0,0.0223975,1,0,0,1
internalMesh,37,-0.134259,-0.00793014,-0.0160787,0,0.017928,1,0,0,1
internalMesh,38,-0.0497782,-7.40149e-18,-0.0161592,0,0.0161592,1,0,0,1
internalMesh,39,0.0422069,0.00793014,-0.0160787,0,0.017928,1,0,0,1
internalMesh,40,0.149523,0.0158374,-0.0158374,0,0.0223975,1,0,0,1
internalMesh,41,0.280093,0.0236991,-0.0154361,0,0.0282829,1,0,0,1
internalMesh,42,0.442187,0.0314926,-0.0148761,0,0.0348294,1,0,0,1
internalMesh,43,0.625367,0.0391955,-0.0141593,0,0.0416746,1,0,0,1
internalMesh,44,-0.570621,-0.0397987,-0.00709104,0,0.0404255,1,0,0,1
internalMesh,45,-0.426879,-0.0319752,-0.00744949,0,0.0328315,1,0,0,1
internalMesh,46,-0.309083,-0.0240611,-0.00772949,0,0.0252721,1,0,0,1
internalMesh,47,-0.215324,-0.0160787,-0.00793014,0,0.017928,1,0,0,1
internalMesh,48,-0.132865,-0.00805079,-0.00805079,0,0.0113855,1,0,0,1
internalMesh,49,-0.0514626,1.73472e-18,-0.00809104,0,0.00809104,1,0,0,1
internalMesh,50,0.0376919,0.00805079,-0.00805079,0,0.0113855,1,0,0,1
internalMesh,51,0.142974,0.0160787,-0.00793014,0,0.017928,1,0,0,1
internalMesh,52,0.272706,0.0240611,-0.00772949,0,0.0252721,1,0,0,1
internalMesh,53,0.435799,0.0319752,-0.00744949,0,0.0328315,1,0,0,1
internalMesh,54,0.625526,0.0397987,-0.00709104,0,0.0404255,1,0,0,1
internalMesh,55,-0.568865,-0.04,-8.32667e-18,0,0.04,1,0,0,1
internalMesh,56,-0.424227,-0.0321362,4.44089e-18,0,0.0321362,1,0,0,1
internalMesh,57,-0.306861,-0.0241819,-4.996e-18,0,0.0241819,1,0,0,1
internalMesh,58,-0.213886,-0.0161592,7.30897e-18,0,0.0161592,1,0,0,1
internalMesh,59,-0.132391,-0.00809104,-1.66533e-18,0,0.00809104,1,0,0,1
internalMesh,60,-0.052021,0,0,0,0,1,0,0,1
internalMesh,61,0.0361826,0.00809104,1.66533e-18,0,0.00809104,1,0,0,1
internalMesh,62,0.140764,0.0161592,-7.77156e-18,0,0.0161592,1,0,0,1
internalMesh,63,0.270176,0.0241819,4.53341e-18,0,0.0241819,1,0,0,1
internalMesh,64,0.433533,0.0321362,-4.2096e-18,0,0.0321362,1,0,0,1
internalMesh,65,0.625379,0.04,8.32667e-18,0,0.04,1,0,0,1
internalMesh,66,-0.570621,-0.0397987,0.00709104,0,0.0404255,1,0,0,1
internalMesh,67,-0.426879,-0.0319752,0.00744949,0,0.0328315,1,0,0,1
internalMesh,68,-0.309083,-0.0240611,0.00772949,0,0.0252721,1,0,0,1
internalMesh,69,-0.215324,-0.0160787,0.00793014,0,0.017928,1,0,0,1
internalMesh,70,-0.132864,-0.00805079,0.00805079,0,0.0113855,1,0,0,1
internalMesh,71,-0.0514622,-1.73472e-18,0.00809104,0,0.00809104,1,0,0,1
internalMesh,72,0.0376921,0.00805079,0.00805079,0,0.0113855,1,0,0,1
internalMesh,73,0.142974,0.0160787,0.00793014,0,0.017928,1,0,0,1
internalMesh,74,0.272707,0.0240611,0.00772949,0,0.0252721,1,0,0,1
internalMesh,75,0.435799,0.0319752,0.00744949,0,0.0328315,1,0,0,1
