Block Name,Point ID,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,1.5e-05,0.00175107,0,-0.04,0.5,0.501597,4.17444e-14,5.75529e-07,0.0136024,0.0136024
internalMesh,1,1.5e-05,0.00175107,0,-0.0391503,0.5,0.50153,5.51795e-14,5.84711e-07,0.0136895,0.0136895
internalMesh,2,1.5e-05,0.00175107,0,-0.0348913,0.5,0.501216,9.63274e-14,5.31509e-07,0.0141259,0.0141259
internalMesh,3,1.5e-05,0.00175107,0,-0.0325972,0.5,0.501061,1.18092e-13,5.02854e-07,0.014361,0.014361
internalMesh,4,1.5e-05,0.00175107,0,-0.0321362,0.5,0.501032,1.25381e-13,5.07835e-07,0.0144082,0.0144082
internalMesh,5,1.5e-05,0.00175107,0,-0.0285044,0.5,0.500812,9.05056e-14,4.4569e-07,0.0145817,0.0145817
internalMesh,6,1.5e-05,0.00175107,0,-0.0277737,0.5,0.500771,7.87573e-14,4.4823e-07,0.0146166,0.0146166
internalMesh,7,1.5e-05,0.00175107,0,-0.0271786,0.5,0.500738,6.94854e-14,4.50298e-07,0.0146451,0.0146451
internalMesh,8,1.5e-05,0.00175107,0,-0.0241819,0.5,0.500584,3.55271e-14,3.99019e-07,0.0147882,0.0147882
internalMesh,9,1.5e-05,0.00175107,0,-0.0236803,0.5,0.50056,2.74576e-14,3.99306e-07,0.0147973,0.0147973
internalMesh,10,1.5e-05,0.00175107,0,-0.0212017,0.5,0.500449,1.90506e-15,3.54855e-07,0.0148424,0.0148424
internalMesh,11,1.5e-05,0.00175107,0,-0.0169948,0.5,0.500289,-5.0258e-14,2.7941e-07,0.0149188,0.0149188
internalMesh,12,1.5e-05,0.00175107,0,-0.0161592,0.5,0.500261,-6.32087e-14,2.79887e-07,0.014934,0.014934
internalMesh,13,1.5e-05,0.00175107,0,-0.0108908,0.5,0.500119,-3.85599e-14,1.77903e-07,0.014966,0.014966
internalMesh,14,1.5e-05,0.00175107,0,-0.00984271,0.5,0.500097,-2.21765e-14,1.74979e-07,0.0149724,0.0149724
internalMesh,15,1.5e-05,0.00175107,0,-0.00954609,0.5,0.500091,-1.75397e-14,1.74152e-07,0.0149742,0.0149742
