Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,0.0518873,0,-0.04,5.5,5.50015,2.4112e-07,0.00278424,1.60272,1.60272
internalMesh,1,0,0,0.0519846,0,-0.0357301,5.5,5.50012,2.49566e-07,0.0017713,1.60137,1.60137
internalMesh,2,0,0,0.05201,0,-0.0348761,5.5,5.50011,2.51351e-07,0.00156549,1.60109,1.60109
internalMesh,3,0,0,0.0520236,0,-0.0344195,5.5,5.50011,2.52304e-07,0.00145543,1.60095,1.60095
internalMesh,4,0,0,0.0520757,0,-0.0321362,5.5,5.50009,2.56819e-07,0.00091379,1.60022,1.60022
internalMesh,5,0,0,0.0520757,0,-0.031486,5.5,5.50009,2.56432e-07,0.000894712,1.6002,1.6002
internalMesh,6,0,0,0.0520751,0,-0.028235,5.5,5.50007,2.54572e-07,0.00080013,1.60011,1.60011
internalMesh,7,0,0,0.0520745,0,-0.0248574,5.5,5.50006,2.52639e-07,0.000701863,1.60001,1.60001
internalMesh,8,0,0,0.0520745,0,-0.0241819,5.5,5.50005,2.52238e-07,0.000682041,1.59999,1.59999
internalMesh,9,0,0,0.0520731,0,-0.0216105,5.5,5.50004,2.48497e-07,0.000608656,1.59994,1.59994
internalMesh,10,0,0,0.0520729,0,-0.0210962,5.5,5.50004,2.47755e-07,0.000593848,1.59993,1.59993
internalMesh,11,0,0,0.0520725,0,-0.0202734,5.5,5.50004,2.46571e-07,0.000570156,1.59991,1.59991
internalMesh,12,0,0,0.0520703,0,-0.0161592,5.5,5.50002,2.40583e-07,0.000452739,1.59983,1.59983
internalMesh,13,0,0,0.0520703,0,-0.0150699,5.5,5.50002,2.38153e-07,0.000421801,1.59981,1.59981
internalMesh,14,0,0,0.0520702,0,-0.00962298,5.5,5.50001,2.25579e-07,0.000268503,1.59975,1.59975
internalMesh,15,0,0,0.0520702,0,-0.00834637,5.5,5.50001,2.22634e-07,0.000232574,1.59974,1.59974
internalMesh,16,0,0,0.0520702,0,-0.00809104,5.5,5.50001,2.22065e-07,0.000225322,1.59973,1.59973
internalMesh,17,0,0,0.0520703,0,-0.00674254,5.5,5.5,2.18356e-07,0.000187466,1.59973,1.59973
internalMesh,18,0,0,0.0520706,0,0,5.5,5.5,1.99499e-07,-1.24627e-07,1.5997,1.5997
internalMesh,19,0,0,0.0520706,0,0,5.5,5.5,1.99501e-07,-1.24627e-07,1.5997,1.5997
internalMesh,20,0,0,0.0520706,0,0,5.5,5.5,1.99501e-07,-1.24627e-07,1.5997,1.5997
internalMesh,21,0,0,0.0520705,0,0.00134851,5.5,5.5,1.95605e-07,-3.79814e-05,1.59971,1.59971
internalMesh,22,0,0,0.0520703,0,0.00809104,5.5,5.50001,1.75813e-07,-0.000225572,1.59973,1.59973
internalMesh,23,0,0,0.0520702,0,0.00834006,5.5,5.50001,1.75126e-07,-0.000232644,1.59974,1.59974
internalMesh,24,0,0,0.0520703,0,0.00954069,5.5,5.50001,1.71741e-07,-0.000266435,1.59975,1.59975
internalMesh,25,0,0,0.0520704,0,0.0150636,5.5,5.50002,1.56172e-07,-0.000421872,1.59981,1.59981
internalMesh,26,0,0,0.0520703,0,0.0161592,5.5,5.50002,1.53152e-07,-0.000452989,1.59983,1.59983
internalMesh,27,0,0,0.0520725,0,0.0202597,5.5,5.50004,1.42619e-07,-0.000570014,1.59991,1.59991
internalMesh,28,0,0,0.0520729,0,0.0210656,5.5,5.50004,1.40598e-07,-0.00059322,1.59993,1.59993
internalMesh,29,0,0,0.0520732,0,0.0215968,5.5,5.50004,1.39268e-07,-0.000608515,1.59994,1.59994
internalMesh,30,0,0,0.0520746,0,0.0241819,5.5,5.50005,1.3263e-07,-0.000682291,1.59999,1.59999
internalMesh,31,0,0,0.0520746,0,0.0248938,5.5,5.50006,1.30973e-07,-0.000703182,1.60001,1.60001
internalMesh,32,0,0,0.0520752,0,0.0284537,5.5,5.50007,1.22442e-07,-0.000806747,1.60012,1.60012
internalMesh,33,0,0,0.0520757,0,0.0315225,5.5,5.50009,1.15086e-07,-0.000896028,1.60021,1.60021
internalMesh,34,0,0,0.0520757,0,0.0321362,5.5,5.50009,1.13658e-07,-0.000914037,1.60022,1.60022
internalMesh,35,0,0,0.0520245,0,0.0343805,5.5,5.50011,6.7206e-08,-0.00144641,1.60094,1.60094
internalMesh,36,0,0,0.0520112,0,0.0348293,5.5,5.50011,5.81366e-08,-0.00155458,1.60108,1.60108
internalMesh,37,0,0,0.0519855,0,0.0356911,5.5,5.50012,4.0723e-08,-0.00176228,1.60135,1.60136
internalMesh,38,0,0,0.0518873,0,0.04,5.5,5.50015,-4.84658e-08,-0.00278444,1.60272,1.60272
internalMesh,39,0,0,0.0518852,0,0.0420397,5.5,5.50016,-4.97763e-08,-0.00282655,1.60257,1.60257
internalMesh,40,0,0,0.0518799,0,0.052238,5.5,5.50025,-5.65321e-08,-0.00303253,1.60177,1.60177
internalMesh,41,0,0,0.051802,0,0.20204,5.5,5.50371,-1.55767e-07,-0.00605813,1.58995,1.58996
internalMesh,42,0,0,0.0518553,0,-0.072,5.5,5.50047,2.20709e-07,0.00344494,1.60038,1.60038
internalMesh,43,0,0,0.051772,0,0.232,5.5,5.50489,-1.75017e-07,-0.00667671,1.58776,1.58777
internalMesh,44,0,0,0.0516909,0,0.392,5.5,5.51395,-1.28878e-07,-0.00852622,1.51135,1.51138
internalMesh,45,0,0,0.0516614,0,0.424,5.5,5.51632,-1.19713e-07,-0.00891209,1.49657,1.4966
internalMesh,46,0,0,0.0514964,0,0.584,5.5,5.53092,-7.18974e-08,-0.00712575,1.28033,1.28035
internalMesh,47,0,0,0.0514533,0,0.616,5.5,5.53439,-6.26054e-08,-0.00676585,1.23762,1.23764
internalMesh,48,0,0,0.0513381,0,0.776,5.5,5.55447,-2.94314e-08,-0.00306981,0.817717,0.817723
