Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,0.253719,-0.0321362,0,0,0.0321362,0,0,1,1
internalMesh,1,0,0,0.253719,-0.0321362,0,0,0.0321362,0,0,1,1
internalMesh,2,0,0,0.250817,-0.0161592,0,0,0.0161592,0,0,1,1
internalMesh,3,0,0,0.250817,-0.0161592,0,0,0.0161592,0,0,1,1
internalMesh,4,0,0,0.249882,0,0,0,0,0,0,1,1
internalMesh,5,0,0,0.249882,0,0,0,0,0,0,1,1
internalMesh,6,0,0,0.249882,0,0,0,0,0,0,1,1
internalMesh,7,0,0,0.250115,0.00809104,0,0,0.00809104,0,0,1,1
internalMesh,8,0,0,0.252007,0.0241819,0,0,0.0241819,0,0,1,1
internalMesh,9,0,0,0.252007,0.0241819,0,0,0.0241819,0,0,1,1
internalMesh,10,0,0,0.255885,0.04,0,0,0.04,0,0,1,1
internalMesh,11,0,0,0.255885,0.04,0,0,0.04,0,0,1,1
internalMesh,12,0,0,0.254472,-0.0348715,0,0,0.0348715,0,0,1,1
internalMesh,13,0,0,0.255885,-0.04,0,0,0.04,0,0,1,1
internalMesh,14,0,0,0.255885,-0.04,0,0,0.04,0,0,1,1
internalMesh,15,0,0,0.255885,-0.04,0,0,0.04,0,0,1,1
internalMesh,16,0,0,0.252914,-0.028393,0,0,0.028393,0,0,1,1
internalMesh,17,0,0,0.252914,-0.028393,0,0,0.028393,0,0,1,1
internalMesh,18,0,0,0.252914,-0.028393,0,0,0.028393,0,0,1,1
internalMesh,19,0,0,0.251524,-0.0209246,0,0,0.0209246,0,0,1,1
internalMesh,20,0,0,0.252007,-0.0241819,0,0,0.0241819,0,0,1,1
internalMesh,21,0,0,0.252007,-0.0241819,0,0,0.0241819,0,0,1,1
internalMesh,22,0,0,0.250245,-0.00958824,0,0,0.00958824,0,0,1,1
internalMesh,23,0,0,0.250245,-0.00958824,0,0,0.00958824,0,0,1,1
internalMesh,24,0,0,0.250245,-0.00958824,0,0,0.00958824,0,0,1,1
internalMesh,25,0,0,0.249882,0,0,0,0,0,0,1,1
internalMesh,26,0,0,0.250115,-0.00809104,0,0,0.00809104,0,0,1,1
internalMesh,27,0,0,0.250115,-0.00809104,0,0,0.00809104,0,0,1,1
internalMesh,28,0,0,0.250239,0.00951484,0,0,0.00951484,0,0,1,1
internalMesh,29,0,0,0.250239,0.00951484,0,0,0.00951484,0,0,1,1
internalMesh,30,0,0,0.250239,0.00951484,0,0,0.00951484,0,0,1,1
internalMesh,31,0,0,0.251569,0.0212262,0,0,0.0212262,0,0,1,1
internalMesh,32,0,0,0.250817,0.0161592,0,0,0.0161592,0,0,1,1
internalMesh,33,0,0,0.250817,0.0161592,0,0,0.0161592,0,0,1,1
internalMesh,34,0,0,0.252895,0.0283063,0,0,0.0283063,0,0,1,1
internalMesh,35,0,0,0.252895,0.0283063,0,0,0.0283063,0,0,1,1
internalMesh,36,0,0,0.252895,0.0283063,0,0,0.0283063,0,0,1,1
internalMesh,37,0,0,0.254446,0.0347768,0,0,0.0347768,0,0,1,1
internalMesh,38,0,0,0.253719,0.0321362,0,0,0.0321362,0,0,1,1
internalMesh,39,0,0,0.253719,0.0321362,0,0,0.0321362,0,0,1,1
internalMesh,40,0,0,0.258291,0.046,0,0,0.046,0,0,1,1
internalMesh,41,0,0,0.258291,0.046,0,0,0.046,0,0,1,1
internalMesh,42,0,0,0.258291,0.046,0,0,0.046,0,0,1,1
internalMesh,43,0,0,0.260991,0.052,0,0,0.052,0,0,1,1
internalMesh,44,0,0,0.260991,0.052,0,0,0.052,0,0,1,1
internalMesh,45,0,0,0.264473,0.058,0,0,0.058,0,0,1,1
internalMesh,46,0,0,0.270519,0.0635714,0,0,0.0635714,0,0,1,1
internalMesh,47,0,0,0.270519,0.0635714,0,0,0.0635714,0,0,1,1
internalMesh,48,0,0,0.270519,0.0635714,0,0,0.0635714,0,0,1,1
internalMesh,49,0,0,0.270984,0.064,0,0,0.064,0,0,1,1
internalMesh,50,0,0,0.270984,0.064,0,0,0.064,0,0,1,1
internalMesh,51,3.06969e-06,0,0.275477,0.07,0,0,0.07,0,0,0.5,0.5
internalMesh,52,0,0,0.258291,-0.046,0,0,0.046,0,0,1,1
internalMesh,53,0,0,0.258291,-0.046,0,0,0.046,0,0,1,1
internalMesh,54,0,0,0.260991,-0.052,0,0,0.052,0,0,1,1
internalMesh,55,0,0,0.260991,-0.052,0,0,0.052,0,0,1,1
internalMesh,56,0,0,0.264473,-0.058,0,0,0.058,0,0,1,1
internalMesh,57,0,0,0.264473,-0.058,0,0,0.058,0,0,1,1
internalMesh,58,0,0,0.270984,-0.064,0,0,0.064,0,0,1,1
internalMesh,59,3.06969e-06,0,0.275477,-0.07,0,0,0.07,0,0,0.5,0.5
internalMesh,60,3.06969e-06,0,0.275477,-0.07,0,0,0.07,0,0,0.5,0.5
internalMesh,61,3.06969e-06,0,0.275477,-0.07,0,0,0.07,0,0,0.5,0.5
internalMesh,62,3.06969e-06,0,0.275477,-0.07,0,0,0.07,0,0,0.5,0.5
