Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,81.8636,0,-0.04,1,1.0008,6.14205e-09,3.79575e-06,1.34726,1.34726
internalMesh,1,0,0,81.8636,0,-0.0383187,1,1.00073,6.57234e-09,4.61381e-06,1.39359,1.39359
internalMesh,2,0,0,81.8636,0,-0.03492,1,1.00061,7.09804e-09,2.15325e-06,1.48725,1.48725
internalMesh,3,0,0,81.8636,0,-0.0330762,1,1.00055,7.38323e-09,8.18317e-07,1.53806,1.53806
internalMesh,4,0,0,81.8636,0,-0.0321362,1,1.00052,7.62377e-09,1.27564e-06,1.56396,1.56396
internalMesh,5,0,0,81.8636,0,-0.0295162,1,1.00044,7.68099e-09,3.50019e-07,1.6237,1.6237
internalMesh,6,0,0,81.8636,0,-0.027997,1,1.00039,8.05317e-09,7.0311e-07,1.65835,1.65835
internalMesh,7,0,0,81.8636,0,-0.0268648,1,1.00036,8.33055e-09,9.66284e-07,1.68417,1.68417
internalMesh,8,0,0,81.8636,0,-0.0241819,1,1.00029,8.38914e-09,1.84512e-08,1.74534,1.74534
internalMesh,9,0,0,81.8636,0,-0.0232929,1,1.00027,8.58099e-09,6.25733e-08,1.75987,1.75987
internalMesh,10,0,0,81.8636,0,-0.0211955,1,1.00022,8.40124e-09,-1.69246e-07,1.79414,1.79414
internalMesh,11,0,0,81.8636,0,-0.0179445,1,1.00016,8.12264e-09,-5.28566e-07,1.84725,1.84725
internalMesh,12,0,0,81.8636,0,-0.0161592,1,1.00013,8.5079e-09,-4.39954e-07,1.87643,1.87643
internalMesh,13,0,0,81.8636,0,-0.0118283,1,1.00007,8.05901e-09,-1.82403e-07,1.91897,1.91897
internalMesh,14,0,0,81.8636,0,-0.00967496,1,1.00005,8.5958e-09,-3.68896e-07,1.94013,1.94013
internalMesh,15,0,0,81.8636,0,-0.00913886,1,1.00004,8.72944e-09,-4.15326e-07,1.94539,1.94539
internalMesh,16,0,0,81.8636,0,-0.00809104,1,1.00003,8.62083e-09,-3.53015e-07,1.95569,1.95569
internalMesh,17,0,0,81.8636,0,-0.00269701,1,1,8.23915e-09,4.7109e-07,1.97337,1.97337
internalMesh,18,0,0,81.8636,0,0,1,1,8.91206e-09,3.00792e-08,1.98221,1.98221
internalMesh,19,0,0,81.8636,0,0,1,1,8.91206e-09,3.00792e-08,1.98221,1.98221
internalMesh,20,0,0,81.8636,0,0,1,1,8.91206e-09,3.00792e-08,1.98221,1.98221
internalMesh,21,0,0,81.8636,0,0.00539403,1,1.00001,8.67537e-09,8.53508e-07,1.96453,1.96453
internalMesh,22,0,0,81.8636,0,0.00809104,1,1.00003,9.13827e-09,4.12023e-07,1.95569,1.95569
internalMesh,23,0,0,81.8636,0,0.00908253,1,1.00004,9.17698e-09,4.70539e-07,1.94595,1.94595
internalMesh,24,0,0,81.8636,0,0.00958522,1,1.00005,9.23399e-09,4.26704e-07,1.94101,1.94101
internalMesh,25,0,0,81.8636,0,0.0117719,1,1.00007,9.48196e-09,2.36026e-07,1.91952,1.91952
internalMesh,26,0,0,81.8636,0,0.0161592,1,1.00013,9.65326e-09,4.94955e-07,1.87643,1.87643
